Distance [m];volta 1 [km/h];volta2 [km/h];volta3 [km/h];volta4 [km/h];volta5 [km/h];volta6 [km/h];volta7 [km/h]
890.68;55.750;92.402;97.616;95.327;95.756;100.028;130.234
893.03;56.720;93.786;100.088;97.337;97.164;102.376;130.591
895.41;57.535;95.186;103.180;98.518;98.692;104.406;131.570
897.81;58.420;95.992;105.162;97.992;98.504;105.862;131.212
900.26;59.130;98.079;106.998;100.634;98.592;107.458;131.297
902.75;59.435;100.872;108.766;102.623;98.328;108.119;133.046
905.27;60.275;100.702;106.382;106.109;96.740;109.149;133.585
907.81;60.820;104.264;106.695;109.606;100.176;110.887;134.376
910.34;61.590;100.934;111.592;112.113;102.004;112.860;134.594
912.89;62.250;102.187;110.536;112.801;102.156;113.327;136.055
915.47;63.164;100.220;111.152;108.754;103.664;114.249;135.906
918.06;63.596;103.368;113.772;104.448;107.640;117.374;136.870
920.69;64.148;104.192;114.788;106.519;108.592;118.765;138.355
923.37;64.448;105.586;117.763;109.435;108.496;120.214;138.885
926.13;64.860;106.887;118.616;109.200;110.876;120.043;140.937
928.94;65.812;108.174;121.772;111.220;112.812;123.450;140.515
931.79;66.528;110.454;130.439;112.284;115.558;120.493;143.119
934.67;67.312;109.520;118.574;114.092;117.008;118.827;142.424
937.56;67.996;112.048;117.687;116.008;118.420;119.822;143.273
940.48;68.452;111.414;121.258;116.432;118.944;126.113;144.464
943.41;68.184;114.928;118.196;118.488;120.084;126.644;145.664
946.36;85.925;115.392;122.317;119.516;121.916;126.936;144.633
949.38;80.448;116.576;123.662;119.792;117.512;129.028;152.418
952.50;83.046;118.462;125.381;118.084;117.912;130.420;153.370
955.67;77.917;118.892;126.425;118.032;120.684;131.564;153.594
958.87;78.442;121.546;128.817;121.240;122.760;133.196;153.794
962.09;80.744;123.070;130.099;124.204;124.265;133.916;154.285
965.33;81.594;124.276;131.190;124.512;125.615;134.144;155.464
968.60;82.487;126.456;132.208;126.464;127.785;135.352;157.149
971.90;83.621;127.382;133.417;128.396;127.620;137.096;157.394
975.22;85.040;129.458;134.681;128.824;129.985;139.328;157.982
978.56;86.955;130.088;135.653;130.004;131.595;140.612;158.485
981.94;88.387;130.492;137.281;131.948;131.530;141.462;158.694
985.35;89.453;132.166;138.127;132.996;132.190;142.708;159.088
