Time (s);Acceleration x (m/s^2);Acceleration y (m/s^2);Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0,850280762;-3,146499634;17,16641235;0,896697998;17,47541817
0,854278565;-3,091445923;15,17922974;0,520812988;15,4995903
0,858276367;-2,935821533;13,18965149;0,176040649;13,51358371
0,86227417;-2,710754395;11,21203613;-0,094497681;11,53546156
0,866241455;-2,380355835;9,282318115;-0,319549561;9,587994337
0,870239258;-2,040390015;7,386108398;-0,42010498;7,674260673
0,874237061;-1,654922485;5,568908691;-0,46321106;5,82804229
0,878234864;-1,259872437;3,888168335;-0,43447876;4,11021938
0,882232666;-0,862442017;2,454040527;-0,369827271;2,62733579
0,886199951;-0,579925537;1,364685059;-0,28604126;1,510131961
0,890197754;-0,397964478;0,69190979;-0,23336792;0,831610166
0,894195557;-0,290222168;0,29208374;-0,20942688;0,461953933
0,89819336;-0,218399048;0,06942749;-0,17590332;0,288894961
0,902160645;-0,175308228;-0,050292969;-0,14956665;0,235865513
0,906158447;-0,163330078;-0,122116089;-0,1328125;0,243368473
0,91015625;-0,141784668;-0,179580688;-0,139984131;0,268230633
0,914154053;-0,122634888;-0,213088989;-0,139984131;0,282916578
0,918151856;-0,125015259;-0,222671509;-0,12562561;0,28459306
0,922119141;-0,129806519;-0,225067139;-0,09928894;0,278142487
0,926116944;-0,132202148;-0,220275879;-0,084915161;0,270572459
0,930114746;-0,129806519;-0,217880249;-0,089706421;0,269014455
0,934112549;-0,117843628;-0,215484619;-0,096893311;0,264024725
0,938079834;-0,105865479;-0,222671509;-0,13041687;0,278924112
0,942077637;-0,096298218;-0,227462769;-0,161529541;0,295134631
0,94607544;-0,081924438;-0,229858398;-0,18069458;0,303639635
0,950073242;-0,077133179;-0,227462769;-0,195053101;0,309410004
0,954071045;-0,081924438;-0,227462769;-0,214202881;0,323007429
0,95803833;-0,101074219;-0,237030029;-0,20223999;0,327567163
0,962036133;-0,141784668;-0,251403809;-0,12322998;0,313834981
0,966033936;-0,160934448;-0,253799438;-0,00592041;0,300581275
0,970031739;-0,168121338;-0,270553589;0,111404419;0,337453661
0,973999024;-0,163330078;-0,277740479;0,202377319;0,380490561
0,977996826;-0,170516968;-0,282531738;0,278991699;0,43213029
0,981994629;-0,184875488;-0,289703369;0,290969849;0,45030039
0,985992432;-0,194458008;-0,304077148;0,305328369;0,472760237
0,989990235;-0,194458008;-0,287307739;0,219146729;0,410347344
0,99395752;-0,194458008;-0,241821289;0,075485229;0,319357907
0,997955322;-0,194458008;-0,227462769;-0,00592041;0,299313012
1,001953125;-0,206420898;-0,213088989;-0,0753479;0,306094447
1,005950928;-0,216003418;-0,201126099;-0,166320801;0,338779859
1,009948731;-0,242340088;-0,201126099;-0,28364563;0,423834011
1,013916016;-0,249526978;-0,201126099;-0,35546875;0,478616185
1,017913819;-0,249526978;-0,201126099;-0,37701416;0,494828351
1,021911621;-0,247131348;-0,201126099;-0,35067749;0,47381464
1,025909424;-0,239944458;-0,193939209;-0,30279541;0,432285577
1,029876709;-0,230361938;-0,18196106;-0,23097229;0,373529984
1,033874512;-0,218399048;-0,179580688;-0,15914917;0,324462365
1,037872315;-0,230361938;-0,167602539;-0,07774353;0,295298646
1,041870117;-0,254302979;-0,155639648;0,006057739;0,298212007
1,045878315;-0,285430908;-0,143661499;0,09942627;0,334656559
1,0498456;-0,354858398;-0,117324829;0,281387329;0,46783376
1,053843403;-0,594284058;0,014358521;0,776992798;0,978313608
1,057841206;-0,996505737;0,29927063;1,442581177;1,778658777
1,061839009;-1,468170166;0,69909668;1,801712036;2,427019997
1,065806294;-2,176849365;1,225814819;1,813674927;3,087185105
1,069804096;-3,211151123;1,829162598;1,579055786;4,01879889
1,073801899;-4,95652771;2,571365356;1,344421387;5,743392343
1,077799702;-6,871887207;3,306381226;0,618972778;7,651020709
1,081797505;-8,717819214;4,098861694;-0,36265564;9,64015343
1,08576479;-10,28361511;4,991897583;-0,843887329;11,4622828
1,089762592;-12,10321045;6,270401001;-0,64994812;13,64654038
1,093760395;-14,0880127;7,513000488;-1,121612549;16,00547696
1,097758198;-16,07040405;8,250411987;-2,515029907;18,2387653
1,101756001;-17,66973877;8,856140137;-2,227737427;19,89004023
1,105723286;-18,60586548;10,01733398;1,440185547;21,18016395
1,109721089;-18,33053589;11,54243469;6,561386108;22,63378299
1,113718891;-17,16217041;12,78981018;10,62194824;23,89445798
1,117716694;-16,07279968;14,00128174;12,26197815;24,59119534
1,121683979;-15,34257507;15,54315186;11,27078247;24,57671087
1,125681782;-13,33622742;17,17120361;9,259643555;23,63146618
1,129679585;-11,12637329;18,1791687;7,562164307;22,61558503
1,133677387;-9,850265503;19,42175293;4,545471191;22,2462025
1,13767519;-8,054626465;21,19107056;1,344421387;22,71004068
1,141642475;-5,10736084;22,60604858;1,035568237;23,19894327
1,145640278;-1,288604736;24,21734619;4,001983643;24,57958974
1,149638081;2,522964478;26,32423401;8,369003296;27,73753526
1,153635884;2,522964478;27,83258057;10,03536987;29,6938805
1,157633686;5,520507813;28,92195129;7,947631836;30,49787083
1,161600971;8,386367798;30,2698822;5,51512146;31,89064907
1,165598774;10,99604797;31,09588623;2,364349365;33,06746678
1,169596577;12,2051239;31,25151062;-2,371383667;33,63399212
1,17359438;12,90661621;31,40713501;-6,312240601;34,53741816
1,177561665;13,2681427;31,64654541;-6,913192749;35,00485225
1,181559467;13,46206665;31,28024292;-3,963531494;34,28396735
1,18555727;13,65361023;29,86766052;-1,159912109;32,86097402
1,189555073;12,68395996;28,79026794;-0,68347168;31,46791226
1,193552876;11,7933197;27,69612122;-1,238922119;30,12793468
1,197520161;10,83802795;25,60359192;-1,799163818;27,86115144
1,201517964;8,937026978;23,19741821;-2,538986206;24,98873974
1,205515766;6,78225708;21,32035828;-3,934799194;22,71649913
1,209513569;4,747177124;19,49597168;-6,336181641;21,04223848
1,213480854;1,00982666;17,19754028;-8,203659058;19,08075375
1,217478657;-0,670898438;15,04754639;-8,225204468;17,16195634
1,22147646;-2,344451904;13,3021698;-6,487014771;14,98417621
1,225474262;-3,373947144;11,59989929;-4,346603394;12,83877502
1,229472065;-3,656463623;9,773117065;-2,670654297;10,77106948
1,23343935;-3,773788452;8,453918457;-1,365814209;9,358187058
1,237437153;-3,883926392;7,481872559;-0,49432373;8,444386132
1,241434956;-3,663650513;6,28717041;-0,096893311;7,277378316
1,245432759;-3,290161133;4,958389282;0,116195679;5,951830474
1,249430561;-3,053131104;3,849868774;0,314910889;4,923643771
1,253397846;-2,835266113;2,930496216;0,482498169;4,106013454
1,257395649;-2,334869385;2,023086548;0,427444458;3,11884642
1,261393452;-1,738708496;1,237792969;0,240692139;2,147829456
1,265391255;-1,269454956;0,69430542;0,058731079;1,448110922
1,269389057;-0,876800537;0,30166626;-0,05380249;0,928803759
1,273356342;-0,601470947;0,04788208;-0,116043091;0,614431439
1,277354145;-0,433868408;-0,100570679;-0,163925171;0,474581625
1,281351948;-0,378814697;-0,184356689;-0,20223999;0,467321065
1,285349751;-0,321350098;-0,234634399;-0,211807251;0,450756584
1,289317036;-0,304580688;-0,265762329;-0,216598511;0,458599963
1,293314839;-0,256698608;-0,296890259;-0,18069458;0,432074684
1,297312641;-0,235153198;-0,316040039;-0,161529541;0,425758295
1,301310444;-0,254302979;-0,323226929;-0,17590332;0,447311559
1,305308247;-0,306976318;-0,330413818;-0,22857666;0,505623418
1,309275532;-0,366836548;-0,328018188;-0,28604126;0,56919644
1,313273335;-0,443450928;-0,328018188;-0,35546875;0,656203238
1,317271137;-0,589492798;-0,323226929;-0,45602417;0,812364112
1,32126894;-0,855255127;-0,311248779;-0,62121582;1,101928414
1,325266743;-1,226348877;-0,294494629;-0,764877319;1,475024057
1,329234028;-1,475357056;-0,282531738;-0,767272949;1,686775149
1,333231831;-1,731536865;-0,292098999;-0,719390869;1,897647218
1,337229634;-2,322906494;-0,292098999;-0,664321899;2,433626921
